detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
HARRIS,AKAZE,6,0,0.00000000,0.00000000,0,0.00000000,0.00000000,42451022239132593821440808235492530101484619384870697940200026967523770380659019186149598058762252810710399673407962352053728479043228708020109607026538761175637082850407219200.00000000
HARRIS,AKAZE,7,0,0.00000000,0.00000000,0,0.00000000,0.00000000,4251005171854987222490061758896760859931977203737508294106761003003752899904578357821186104635271107542198943109985430542680305572214127338820579886126116552553950781154691884852883105599725004072826521717419699115956386001846272.00000000
HARRIS,AKAZE,8,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,9,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,10,0,0.00000000,0.00000000,0,0.00000000,0.00000000,5285614496162831971717956274206937323440481328937256480958922330248678709689218633860112178131343192334108812580986745737728268629247395958066307983254394192247918343213536598032384.00000000
HARRIS,AKAZE,11,0,0.00000000,0.00000000,0,0.00000000,0.00000000,257382701426205473290748461812813868344019749007371145206014185196144538222589374640355913423277825384343465416585780640020648120318179633607517618644388805432017684437416277378571698176.00000000
HARRIS,AKAZE,12,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,13,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,14,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,15,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,16,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
HARRIS,AKAZE,17,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000

HARRIS,SIFT,0,115,15.36025900,21.90044400,0,0.00000000,0.00000000,0.00000000
HARRIS,SIFT,1,209,17.40497300,26.98261300,98,1.53422000,12.29943227,nan
HARRIS,SIFT,2,114,15.75796700,22.15716300,120,1.55771800,12.98777737,10.58599631
HARRIS,SIFT,3,178,16.73935500,25.95479400,104,1.37076000,17.26938871,-11.47314563
HARRIS,SIFT,4,250,18.56938500,30.72697500,147,2.49356200,13.79866612,12.62898292
HARRIS,SIFT,5,241,18.31192400,29.52261400,200,3.11038900,12.85564709,13.64320586
HARRIS,SIFT,6,259,19.35295700,30.81588900,196,3.20283100,13.34054193,12.99448920
HARRIS,SIFT,7,272,20.18856200,31.61892000,202,3.57665500,14.45731022,12.20000000
HARRIS,SIFT,8,193,17.30519100,27.06690700,192,2.76839200,13.13016586,11.72412388
HARRIS,SIFT,9,129,15.80461000,23.17847100,123,1.58148200,12.34545830,nan
HARRIS,SIFT,10,248,18.89786100,29.58722100,117,1.94348800,12.14960324,nan
HARRIS,SIFT,11,147,18.09167900,24.40431700,148,2.13711000,11.54790781,nan
HARRIS,SIFT,12,168,16.95145300,25.14660000,120,1.59069000,10.07826007,nan
HARRIS,SIFT,13,181,16.72452500,26.27225800,137,1.81538800,9.20565887,13.35505098
HARRIS,SIFT,14,144,15.76079700,23.98831300,138,1.66447100,9.54236248,nan
HARRIS,SIFT,15,243,19.47725100,31.57924000,127,2.22999800,8.39156690,nan
HARRIS,SIFT,16,213,18.82487000,28.73154700,188,2.88714800,8.88653053,6.60338365
HARRIS,SIFT,17,126,17.55101300,22.85354700,127,2.26835100,11.04299793,nan

FAST,BRISK,0,5275,2.59602400,50.24900000,0,0.00000000,0.00000000,0.00000000
FAST,BRISK,1,5291,2.43396100,50.36729900,1596,1387.28202600,12.29943227,13.66249240
FAST,BRISK,2,5202,2.42919000,49.05629200,1564,1360.87594300,12.98777737,13.13549770
FAST,BRISK,3,5090,2.41735100,48.58358700,1563,1314.83620200,17.26938871,13.43158999
FAST,BRISK,4,5118,2.39739700,48.39080600,1467,1294.27251400,13.79866612,11.13927933
FAST,BRISK,5,5180,2.48388700,48.42362900,1589,1299.29752300,12.85564709,12.40080323
FAST,BRISK,6,5192,2.43343800,49.16375500,1505,1308.51052200,13.34054193,11.99321718
FAST,BRISK,7,5177,2.44466200,49.41604800,1393,1324.02409800,14.45731022,14.11841561
FAST,BRISK,8,5176,2.64076000,50.10305800,1514,1327.86733100,13.13016586,10.85024684
FAST,BRISK,9,5225,2.54121900,49.75331700,1446,1330.38980100,12.34545830,11.38640617
FAST,BRISK,10,5331,2.54333100,50.97955100,1424,1363.90881000,12.14960324,12.32782493
FAST,BRISK,11,5351,2.59455700,51.06432000,1516,1408.16057400,11.54790781,8.29889411
FAST,BRISK,12,5244,2.51985600,49.79073300,1499,1391.62114700,10.07826007,14.09779161
FAST,BRISK,13,5231,2.45492300,51.56160100,1475,1363.16331500,9.20565887,13.15407143
FAST,BRISK,14,5286,4.20211800,52.11874100,1530,1376.00420100,9.54236248,13.02703099
FAST,BRISK,15,5464,2.59413100,52.49703400,1658,1470.24475500,8.39156690,13.71163652
FAST,BRISK,16,5464,2.54814500,52.58113500,1741,1488.01335400,8.88653053,11.61469744
FAST,BRISK,17,5563,2.51544700,53.96777600,1834,1517.18397300,11.04299793,7.98846451

FAST,BRIEF,0,5275,2.39632200,16.59007200,0,0.00000000,0.00000000,0.00000000
